sec,nsec,x,y,q_x,q_y,q_w,q_z,fl,fr,rl,rr
1649348649,27045011,0.025686156004667282,0.0019130463479086757,0.04276556149125099,-0.058492306619882584,0.9973258376121521,-0.0095430389046669,17269.0,11412.0,15462.0,13165.0
1649348649,47387838,0.025686156004667282,0.0019130463479086757,0.04276556149125099,-0.058492306619882584,0.9973258376121521,-0.0095430389046669,17269.0,11412.0,15462.0,13165.0
1649348649,66577911,0.02481800876557827,0.005610886961221695,0.013599591329693794,-0.03205592930316925,0.9993717670440674,-0.006599933374673128,17269.0,11412.0,15462.0,13165.0
1649348649,87581634,0.02384266071021557,0.0036929375492036343,0.03232517093420029,-0.07275020331144333,0.9968205690383911,0.0033716310281306505,17269.0,11412.0,15462.0,13165.0
1649348649,108581781,0.02456030808389187,0.005307896062731743,0.01286754384636879,-0.027934297919273376,0.9995243549346924,-0.002278707455843687,17269.0,11412.0,15462.0,13165.0
1649348649,127764225,0.026950053870677948,0.0033952808007597923,0.00926442351192236,-0.056633904576301575,0.9981974363327026,-0.017573360353708267,17269.0,11412.0,15462.0,13165.0
1649348649,148143291,0.0240052230656147,0.003193897195160389,0.03788294643163681,-0.06557904183864594,0.9971252679824829,-0.0023280505556613207,17269.0,11412.0,15462.0,13165.0
1649348649,169028520,0.0250594150274992,0.005317044910043478,0.02417595125734806,-0.03504636883735657,0.9989747405052185,-0.01538832113146782,17269.0,11412.0,15462.0,13165.0
1649348649,189025163,0.026190513744950294,0.00481321569532156,0.006387302186340094,-0.024976536631584167,0.9996656179428101,-0.0019983614329248667,17269.0,11412.0,15462.0,13165.0
1649348649,209359169,0.023638609796762466,0.0031300263945013285,0.03937908634543419,-0.08476395159959793,0.9956222772598267,-0.0007716530817560852,17269.0,11412.0,15462.0,13165.0
1649348649,229862689,0.025492915883660316,0.00495997304096818,0.022983921691775322,-0.05369313061237335,0.9981915354728699,-0.014227238483726978,17269.0,11412.0,15462.0,13165.0
1649348649,250151872,0.025099990889430046,0.0036832173354923725,0.005120536778122187,-0.048823170363903046,0.9987474679946899,-0.00968435499817133,17269.0,11412.0,15462.0,13165.0
1649348649,270575523,0.02471950277686119,0.0038188640028238297,0.025921599939465523,-0.043683018535375595,0.998593807220459,-0.01517640333622694,17269.0,11412.0,15462.0,13165.0
1649348649,291465282,0.02373543195426464,0.004141917917877436,0.029309401288628578,-0.08545166999101639,0.995907723903656,-0.0026395292952656746,17269.0,11412.0,15462.0,13165.0
1649348649,311565637,0.02458805777132511,0.003711011027917266,-0.013696324080228806,-0.038398850709199905,0.9991130828857422,-0.010534870438277721,17269.0,11412.0,15462.0,13165.0
1649348649,332320690,0.023835958912968636,0.003322480944916606,0.03796454146504402,-0.07490133494138718,0.9964673519134521,-0.0012221492361277342,17269.0,11412.0,15462.0,13165.0
1649348649,352318286,0.023733874782919884,0.0026451468002051115,0.0016840710304677486,-0.0054473974741995335,0.9993816614151001,-0.03469852730631828,17269.0,11412.0,15462.0,13165.0
1649348649,372575759,0.02484908327460289,0.00426297914236784,0.032717350870370865,-0.050824761390686035,0.9981536865234375,-0.005980954971164465,17269.0,11412.0,15462.0,13165.0
1649348649,393254041,0.02526494674384594,0.005032014101743698,0.016983449459075928,-0.087114118039608,0.9960219860076904,-0.007941992953419685,17269.0,11412.0,15462.0,13165.0
1649348649,413414001,0.02403622679412365,0.00394011102616787,0.03403891623020172,-0.059902071952819824,0.9976211190223694,-0.002304650377482176,17269.0,11412.0,15462.0,13165.0
1649348649,433964014,0.02485072612762451,0.004035088233649731,-0.012093795463442802,-0.03950148820877075,0.9987996816635132,-0.026320399716496468,17269.0,11412.0,15462.0,13165.0
1649348649,454855203,0.02485072612762451,0.004035088233649731,-0.012093795463442802,-0.03950148820877075,0.9987996816635132,-0.026320399716496468,17269.0,11412.0,15462.0,13165.0
1649348649,474863529,0.023819178342819214,0.004176379181444645,0.031813014298677444,-0.05544157698750496,0.9979549646377563,-0.0004203848075121641,17269.0,11412.0,15462.0,13165.0
1649348649,495183467,0.023906130343675613,0.002754524350166321,0.03987758234143257,-0.0670275092124939,0.9969526529312134,-0.001615249551832676,17269.0,11412.0,15462.0,13165.0
1649348649,515579938,0.0237728338688612,0.0061960299499332905,0.028196634724736214,-0.026759078726172447,0.99918133020401,-0.01120723132044077,17269.0,11412.0,15462.0,13165.0
1649348649,535971403,0.02629086934030056,0.0037391625810414553,0.006501241121441126,-0.0291132815182209,0.999528169631958,-0.007329646963626146,17269.0,11412.0,15462.0,13165.0
1649348649,556267261,0.02428259886801243,0.004567995667457581,0.021674744784832,-0.07470224797725677,0.9969569444656372,-0.0051789432764053345,17269.0,11412.0,15462.0,13165.0
1649348649,576709747,0.02518349699676037,0.006705794017761946,0.01970330998301506,-0.0338369756937027,0.9991517663002014,-0.012754745781421661,17269.0,11412.0,15462.0,13165.0
1649348649,597306728,0.025105051696300507,0.004313243553042412,0.00530398590490222,-0.03697238489985466,0.9993016123771667,-0.0011411856394261122,17269.0,11412.0,15462.0,13165.0
1649348649,617564678,0.023971853777766228,0.002188620390370488,0.022156672552227974,-0.06990525126457214,0.9971856474876404,-0.015591626986861229,17269.0,11412.0,15462.0,13165.0
1649348649,637953281,0.02502148598432541,0.0045534283854067326,0.015481715090572834,-0.04284476861357689,0.9989439845085144,-0.005970681086182594,17269.0,11412.0,15462.0,13165.0
1649348649,658422231,0.023676415905356407,0.004026894923299551,0.0312901996076107,-0.05967121198773384,0.9977275133132935,0.00018804542196448892,17269.0,11412.0,15462.0,13165.0
